GEOID,date,hour_range,risk_score,risk_level,risk_decile,expected_count,top1_category,top1_prob,top1_expected,top2_category,top2_prob,top2_expected,top3_category,top3_prob,top3_expected
06075011700,,09-12,0.9999634521577548,critical,10,1.6698087337008365,Larceny Theft,0.5660840237997204,0.8349043668504182,Other Miscellaneous,0.17835601524715405,0.19644808631774546,Fraud,0.13699609650374678,0.14733606473830912
06075011700,,12-15,0.9999634521577548,critical,10,0.8999999999999999,Larceny Theft,0.3296799539643607,0.3999999999999999,Malicious Mischief,0.18126924692201807,0.19999999999999996,Miscellaneous Investigation,0.18126924692201807,0.19999999999999996
06075011700,,15-18,0.9999634521577548,critical,10,0.8,Assault,0.09516258196404048,0.1,Disorderly Conduct,0.09516258196404048,0.1,Lost Property,0.09516258196404048,0.1
06075011700,,18-21,0.9999634521577548,critical,10,0.2,Assault,0.09516258196404048,0.1,Malicious Mischief,0.09516258196404048,0.1,,0.0,0.0
06075011700,,21-24,0.9999634521577548,critical,10,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075023103,,00-03,0.6776821710739486,medium,6,0.4,Assault,0.09516258196404048,0.1,Larceny Theft,0.09516258196404048,0.1,Malicious Mischief,0.09516258196404048,0.1
06075023103,,03-06,0.26739649363610984,medium,5,0.29029822176500125,Assault,0.05640633427531527,0.058059644353000255,Burglary,0.05640633427531527,0.058059644353000255,Disorderly Conduct,0.05640633427531527,0.058059644353000255
06075023103,,06-09,0.9999348452215548,high,9,0.5,Assault,0.09516258196404048,0.1,Disorderly Conduct,0.09516258196404048,0.1,Malicious Mischief,0.09516258196404048,0.1
06075023103,,09-12,0.9999457537215145,high,9,0.6000000000000001,Weapons Carrying Etc,0.18126924692201818,0.2,Burglary,0.09516258196404048,0.1,Motor Vehicle Theft,0.09516258196404048,0.1
06075023103,,12-15,0.9999556179244216,high,9,0.1,Miscellaneous Investigation,0.09516258196404048,0.1,,0.0,0.0,,0.0,0.0
06075023103,,15-18,0.999962947880312,high,9,0.1,Assault,0.09516258196404048,0.1,,0.0,0.0,,0.0,0.0
06075023103,,18-21,0.9999613086920996,high,9,0.7,Disorderly Conduct,0.18126924692201818,0.19999999999999998,Offences Against The Family And Children,0.18126924692201818,0.19999999999999998,Malicious Mischief,0.09516258196404037,0.09999999999999999
06075023103,,21-24,1.7192586298315802e-05,low,1,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075022801,,00-03,0.999962947880312,high,9,0.30000000000000004,Larceny Theft,0.09516258196404048,0.1,Missing Person,0.09516258196404048,0.1,Motor Vehicle Theft,0.09516258196404048,0.1
06075022801,,03-06,0.1911146580265968,low,4,0.2074830698933862,Malicious Mischief,0.04064741627572266,0.04149661397867724,Miscellaneous Investigation,0.04064741627572266,0.04149661397867724,Robbery,0.04064741627572266,0.04149661397867724
06075022801,,06-09,0.6834086606991979,medium,6,0.8421412975780488,Other Miscellaneous,0.17662233836998253,0.1943402994410882,Larceny Theft,0.1215182974467568,0.12956019962739213,Missing Person,0.1215182974467568,0.12956019962739213
06075022801,,09-12,0.9999634521577548,critical,10,0.4,Larceny Theft,0.2591817793182821,0.30000000000000004,Malicious Mischief,0.09516258196404048,0.1,,0.0,0.0
06075022801,,12-15,0.9999634521577548,critical,10,0.8,Larceny Theft,0.18126924692201818,0.2,Assault,0.09516258196404048,0.1,Disorderly Conduct,0.09516258196404048,0.1
06075022801,,15-18,0.9999634521577548,critical,10,1.2694762942271307,Prostitution,0.419613645613762,0.5440612689544846,Assault,0.16585977587850842,0.18135375631816153,Malicious Mischief,0.16585977587850842,0.18135375631816153
06075022801,,18-21,0.9999634521577548,critical,10,0.2,Traffic Collision,0.18126924692201818,0.2,,0.0,0.0,,0.0,0.0
06075022801,,21-24,0.99949936599918,medium,7,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075020801,,00-03,0.9999648606522151,critical,10,0.6000000000000001,Other Miscellaneous,0.2591817793182821,0.30000000000000004,Drug Offense,0.18126924692201818,0.2,Warrant,0.09516258196404048,0.1
06075020801,,03-06,0.9994911286795626,medium,7,0.1,Miscellaneous Investigation,0.09516258196404048,0.1,,0.0,0.0,,0.0,0.0
06075020801,,06-09,1.7192586298315802e-05,low,1,0.03333333333333333,Assault,0.013244838192804309,0.013333333333333334,Larceny Theft,0.006644493744965563,0.006666666666666667,Lost Property,0.006644493744965563,0.006666666666666667
06075020801,,09-12,0.999544169323017,medium,7,0.43865546218487395,Larceny Theft,0.08946796015744796,0.09372619115018481,Assault,0.04134019373193276,0.04221900502260577,Other Miscellaneous,0.03606415206346136,0.03673053436966702
06075020801,,12-15,0.9999613086920996,high,9,0.2,Larceny Theft,0.09516258196404048,0.1,Malicious Mischief,0.09516258196404048,0.1,,0.0,0.0
06075020801,,15-18,0.9999613086920996,high,9,0.30000000000000004,Drug Offense,0.09516258196404048,0.1,Traffic Violation Arrest,0.09516258196404048,0.1,Warrant,0.09516258196404048,0.1
06075020801,,18-21,0.6551386671808354,medium,6,0.30000000000000004,Assault,0.18126924692201818,0.2,Malicious Mischief,0.09516258196404048,0.1,,0.0,0.0
06075020801,,21-24,0.9999557536018744,high,9,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075035102,,00-03,0.9991848888020157,medium,7,0.28445378151260503,Larceny Theft,0.03767734167431891,0.038405480886716706,Other Miscellaneous,0.03074818573684235,0.031230830611176222,Warrant,0.029110558479242377,0.029542677605166698
06075035102,,03-06,2.562991823954915e-05,low,3,0.006666666666666667,Robbery,0.006644493744965563,0.006666666666666667,,0.0,0.0,,0.0,0.0
06075035102,,06-09,0.3367139248401492,medium,5,0.1,Offences Against The Family And Children,0.09516258196404048,0.1,,0.0,0.0,,0.0,0.0
06075035102,,09-12,1.7192586298315802e-05,low,1,0.013333333333333334,Malicious Mischief,0.006644493744965563,0.006666666666666667,Offences Against The Family And Children,0.006644493744965563,0.006666666666666667,,0.0,0.0
06075035102,,12-15,0.9996387401402653,medium,8,0.1,Malicious Mischief,0.09516258196404048,0.1,,0.0,0.0,,0.0,0.0
06075035102,,15-18,0.030474936351436305,low,4,0.03202407471767844,Malicious Mischief,0.031516734162668536,0.03202407471767844,,0.0,0.0,,0.0,0.0
06075035102,,18-21,1.7192586298315802e-05,low,1,0.04000000000000001,Larceny Theft,0.013244838192804309,0.013333333333333336,Burglary,0.006644493744965563,0.006666666666666668,Motor Vehicle Theft,0.006644493744965563,0.006666666666666668
06075035102,,21-24,1.7192586298315802e-05,low,1,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075025600,,00-03,1.7192586298315802e-05,low,1,0.006666666666666667,Larceny Theft,0.006644493744965563,0.006666666666666667,,0.0,0.0,,0.0,0.0
06075025600,,03-06,2.3359148493341875e-05,low,3,0.006666666666666667,Non-Criminal,0.006644493744965563,0.006666666666666667,,0.0,0.0,,0.0,0.0
06075025600,,06-09,1.7192586298315802e-05,low,1,0.03333333333333333,Larceny Theft,0.006644493744965563,0.006666666666666667,Malicious Mischief,0.006644493744965563,0.006666666666666667,Motor Vehicle Theft,0.006644493744965563,0.006666666666666667
06075025600,,09-12,0.9994946256053935,medium,7,0.43865546218487395,Larceny Theft,0.08946796015744796,0.09372619115018481,Assault,0.04134019373193276,0.04221900502260577,Other Miscellaneous,0.03606415206346136,0.03673053436966702
06075025600,,12-15,0.9993834159310719,medium,7,0.30000000000000004,Offences Against The Family And Children,0.18126924692201818,0.2,Larceny Theft,0.09516258196404048,0.1,,0.0,0.0
06075025600,,15-18,0.9997625202617498,medium,8,0.2987394957983193,Larceny Theft,0.05257679966899287,0.054009400370317616,Assault,0.03196789884989548,0.03249002991026919,Other Miscellaneous,0.0278746729180952,0.02827054550633813
06075025600,,18-21,0.9997567721248629,medium,8,0.2,Motor Vehicle Theft,0.09516258196404048,0.1,Recovered Vehicle,0.09516258196404048,0.1,,0.0,0.0
06075025600,,21-24,0.9998360059970036,medium,8,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075026001,,00-03,1.7192586298315802e-05,low,1,0.006666666666666667,Larceny Theft,0.006644493744965563,0.006666666666666667,,0.0,0.0,,0.0,0.0
06075026001,,03-06,2.3359148493341875e-05,low,3,0.006666666666666667,Liquor Laws,0.006644493744965563,0.006666666666666667,,0.0,0.0,,0.0,0.0
06075026001,,06-09,0.3487621447694286,medium,5,0.1,Larceny Theft,0.09516258196404048,0.1,,0.0,0.0,,0.0,0.0
06075026001,,09-12,1.7192586298315802e-05,low,1,0.006666666666666667,Robbery,0.006644493744965563,0.006666666666666667,,0.0,0.0,,0.0,0.0
06075026001,,12-15,0.9995876196034734,medium,8,0.2,Larceny Theft,0.09516258196404048,0.1,Motor Vehicle Theft,0.09516258196404048,0.1,,0.0,0.0
06075026001,,15-18,0.9998836920553186,high,9,0.1,Missing Person,0.09516258196404048,0.1,,0.0,0.0,,0.0,0.0
06075026001,,18-21,0.9998140789455695,medium,8,0.1903361344537815,Assault,0.02659033169874625,0.02695024912619915,Burglary,0.02289422758001536,0.023160370342827395,Larceny Theft,0.02042236458392699,0.020633784487246225
06075026001,,21-24,0.33545988181225717,medium,5,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075032601,,00-03,1.7192586298315802e-05,low,1,0.013333333333333334,Larceny Theft,0.006644493744965563,0.006666666666666667,Missing Person,0.006644493744965563,0.006666666666666667,,0.0,0.0
06075032601,,03-06,0.40197277068355036,medium,5,0.4,Assault,0.09516258196404048,0.1,Larceny Theft,0.09516258196404048,0.1,Lost Property,0.09516258196404048,0.1
